Sample,Phase,Code,Species,Class,Element,yield,IRSF,C/P,dC,% C,dN,%N,C:N,%S,dS,C:S
CMOF254,IV,ORC,Oryctolagus cuniculus,Mammal,Humerus,7.2,3.01,0.325,-21.5,40.4,11.8,14.6,3.2,0.28,11.4,385.5
CMOF435,III,BOS,Bos taurus,Mammal,Humerus,10.9,2.98,0.214,-20.2,41.1,8.9,14.9,3.2,0.23,10.3,477.5
CMOF756,IV,ALR,Alectoris rufa,Bird,Tarsometatarsal,8.8,2.53,0.333,-20.6,41,5.8,15.1,3.2,0.25,13.9,438.1
CMOF397,III,CAH,Capra hircus,Mammal,Astragalus,13.3,2.87,0.428,-19.8,38.7,4.2,14.2,3.2,0.15,10.9,688.4
CMOF419,IV,OVA,Ovis aries,Mammal,Astragalus,9.6,3.14,0.411,-20.8,36.8,5.6,13.5,3.2,0.19,7,516.5
CMOF467,V,CEE,Cervus elaphus,Mammal,Humerus,15.5,2.64,0.365,-20,34.4,4.4,12.8,3.1,0.17,14.3,539.9
CMOF388,III,CEE,Cervus elaphus,Mammal,Calcaneum,6.7,2.59,0.287,-20,28.3,4.1,10.3,3.2,0.15,15.6,504.4
CMOF439,IV,S,Sus scrofa,Mammal,Humerus,6.6,3.24,0.254,-19.8,21.7,8.8,8,3.2,NA,NA,NA
CMOF424,III,OVA,Ovis aries,Mammal,Calcaneum,45.7,2.48,0.213,-20.7,40.6,7,14.8,3.2,0.22,7.7,493.1
CMOF338,V,S,Sus scrofa,Mammal,Humerus,6,2.61,0.222,-20.3,40.8,8.5,15,3.2,NA,NA,NA
CMOF230,III,ORC,Oryctolagus cuniculus,Mammal,Tibia,8.4,3.01,0.368,-21.6,40.9,4.7,14.9,3.2,0.25,16.7,436.8
CMOF677,IV,CEE,Cervus elaphus,Mammal,Humerus,6.2,2.51,0.344,-20.3,41.4,3.8,14.9,3.2,0.28,15.8,394.8
CMOF181,III,CAH,Capra hircus,Mammal,Humerus,24.6,2.97,0.257,-19.8,41.3,4.9,15.3,3.2,0.19,12.6,580.4
CMOF99,V,ORC,Oryctolagus cuniculus,Mammal,Astragalus,6.5,3.12,0.201,-20.5,42.9,8.3,14.4,3.5,0.19,14.3,602.2
CMOF466,V,S,Sus scrofa,Mammal,Tibia,19.8,2.59,0.229,-20.1,40.8,8.8,15,3.2,0.2,14.4,544.1
CMOF158,III,S,Sus scrofa,Mammal,Tibia,5.1,2.78,0.4,-19.3,41,11,15.2,3.2,0.21,14.6,521
CMOF710,V,G,Gallus domesticus,Bird,Femur,4.5,2.63,0.253,-18.9,40.5,9.3,14.7,3.2,0.26,16.2,415.9
CMOF'737,V,ALR,Alectoris rufa,Bird,Tarsometatarsal,6.3,2.79,0.233,-20,40.6,5.6,14.9,3.2,0.26,13.9,416.8
CMOF774,V,GNP,Gallus/Numida/Phasianus,Bird,Tibia,10.5,2.87,0.352,-20.2,40.7,7.8,14.9,3.2,0.24,15.1,452.9
CMOF750,V,GNP,Gallus/Numida/Phasianus,Bird,Femur,6,2.65,0.413,-18.2,40.6,9.9,15.1,3.1,0.24,13.5,451.9
CMOF201,IV,BOS,Bos taurus,Mammal,Astragalus,29.1,2.96,0.369,-21.4,41.9,6.1,15.6,3.1,0.2,8.3,558.6
CMOF323,V,S,Sus scrofa,Mammal,Humerus,2.6,3.33,0.288,-20.3,40.4,7.3,14.9,3.2,NA,NA,NA
CMOF508,V,CEE,Cervus elaphus,Mammal,Astragalus,3,2.5,0.229,-20,38,3.5,14.3,3.1,NA,NA,NA
CMOF751,V,GNP,Gallus/Numida/Phasianus,Bird,Femur,31.1,3.28,0.313,-18.1,40.6,9.8,14.8,3.2,0.21,14.9,515.8
CMOF772,V,GNP,Gallus/Numida/Phasianus,Bird,Carpometacarpal,3.1,2.91,0.225,-18.5,40.7,9.6,14.9,3.2,0.24,14.9,452.8
CMOF743,V,G,Gallus domesticus,Bird,Humerus,4.5,2.74,0.219,-18.1,41.1,9.6,15,3.2,0.22,12.5,498.4
CMOF420,IV,CAH,Capra hircus,Mammal,Humerus,19.8,2.66,0.211,-19.3,40.7,5.7,15.1,3.2,0.22,13.6,494.3
CMOF14,V,CAH,Capra hircus,Mammal,Astragalus,7.9,2.59,0.338,-20.3,36.6,3.9,13.1,3.3,NA,NA,NA
CMOF777,V,RIT,Rissa tridactyla,Bird,Humerus,3.9,3.37,0.403,-15.5,40.9,13.9,15.1,3.2,0.29,15.8,376.9
CMOF779,III,PLS,Pluvialis squatarola ,Bird,Tarsometatarsal,2.5,2.43,0.258,-14.9,40.8,10.3,14.8,3.2,0.29,9.5,375.9
CMOF370,III,BOS,Bos taurus,Mammal,Astragalus,41.6,2.78,0.375,-21.2,39.8,7,14.6,3.2,0.24,15.2,443.1
CMOF373,III,CEE,Cervus elaphus,Mammal,Humerus,6.3,2.6,0.394,-20,41.3,3.6,15.2,3.2,0.21,16.3,524.5
CMOF463,IV,OVA,Ovis aries,Mammal,Humerus,5.3,2.93,0.2,-20.8,40.7,7.6,15.3,3.1,0.2,15.9,543.5
CMOF480,IV,BOS,Bos taurus,Mammal,Humerus,10.8,2.56,0.398,-21.7,39.1,4.1,14.4,3.2,0.18,15.3,580.6
CMOF691,V,OVA,Ovis aries,Mammal,Humerus,6.8,2.79,0.418,-20.7,40.9,9.3,15.4,3.1,0.2,12.4,545.9
CMOF457,V,ORC,Oryctolagus cuniculus,Mammal,Humerus,4.9,2.81,0.227,-23.2,40.5,4.3,15,3.2,0.24,14.2,450.9
CMOF468,V,BOS,Bos taurus,Mammal,Tibia,22.9,3.27,0.303,-21.6,40.9,9.1,15.5,3.1,0.17,11.6,642.4
CMOF746,V,GNP,Gallus/Numida/Phasianus,Bird,Carpometacarpal,24.7,2.54,0.285,-17.3,42.4,9.6,15.77,3.1,0.22,12.2,514.6
CMOF744,V,G,Gallus domesticus,Bird,Humerus,6.5,2.37,0.411,-17.5,43.4,9.5,15.98,3.2,0.27,14.7,429.3
CMOF731,V,GNP,Gallus/Numida/Phasianus,Bird,Carpometacarpal,10.4,2.54,0.299,-19.3,42.8,10.9,15.64,3.2,0.29,16.2,393.6
CMOF730,V,G,Gallus domesticus,Bird,Tarsometatarsal,15.8,2.48,0.3,-19.6,50,11.1,18.1,3.2,0.22,14.1,606.3
CMOF709,V,GNP,Gallus/Numida/Phasianus,Bird,Tibia,29.1,3.12,0.4,-18.7,42.8,11,15.66,3.2,0.21,14.6,544
CMOF673,IV,CAH,Capra hircus,Mammal,Astragalus,20.9,2.4,0.366,-19.2,20.3,5.4,7.29,3.3,0.24,14.8,225.9
CMOF660,IV,CAH,Capra hircus,Mammal,Metatarsal,4,2.6,0.277,-19.8,42.3,4.2,15.59,3.2,0.2,12.8,564.3
